GeneIDs	lcountsRep1	lcountsRep2	lcountsRep3	lcountsRep4	lcountsRep5	lcountsRep6	mean
NM_001014858	3	3	2	0	4	2	2.333333333
NM_001014859	0	0	0	0	0	0	0
NM_001014860	141	141	141	155	153	144	145.8333333
NM_001014861	5	5	4	5	3	3	4.166666667
NM_001014862	231	243	208	258	223	221	230.6666667
NM_001014863	1	2	0	0	2	0	0.833333333
NM_001014864	0	0	0	0	0	0	0
NM_001014865	5	4	7	7	5	7	5.833333333
NM_001014866	17	22	20	15	22	12	18
NM_001014867	22	24	19	22	20	19	21
NM_001014869	6	11	8	6	1	7	6.5
NM_001014870	1	0	1	1	1	0	0.666666667
NM_001014872	0	0	0	0	0	0	0
NM_001014873	21	26	15	17	17	16	18.66666667
NM_001014874	1	0	0	1	1	0	0.5
NM_001014875	25	25	19	28	30	27	25.66666667
NM_001014876	2	1	4	0	2	0	1.5
NM_001014878	0	0	0	0	0	0	0
NM_001014879	0	0	0	0	0	0	0
NM_001014880	0	0	0	0	0	0	0
NM_001014881	21	20	20	20	19	23	20.5
NM_001014883	18	22	19	12	15	20	17.66666667
NM_001014884	28	30	24	20	16	28	24.33333333
NM_001014886	0	0	0	0	0	0	0
NM_001014887	1	0	0	1	2	1	0.833333333
NM_001014888	15	15	21	12	20	8	15.16666667
NM_001014889	10	5	8	12	12	12	9.833333333
NM_001014891	26	23	23	30	29	29	26.66666667
NM_001014892	34	36	44	28	27	43	35.33333333
NM_001014893	2	1	0	3	0	4	1.666666667
NM_001014894	1300	1313	1303	1340	1251	1286	1298.833333
NM_001014895	7	9	9	5	13	5	8
NM_001014896	13	15	11	14	10	10	12.16666667
NM_001014897	3	4	2	5	1	5	3.333333333
NM_001014898	17	7	22	26	9	16	16.16666667
NM_001014899	0	0	0	0	0	0	0
NM_001014901	9	12	16	10	8	17	12
NM_001014902	0	0	0	0	0	0	0
NM_001014903	0	0	0	0	0	0	0
NM_001014904	5	3	2	2	4	6	3.666666667
NM_001014905	0	0	0	0	0	0	0
NM_001014907	6	3	10	7	8	3	6.166666667
NM_001014908	1	2	0	0	1	4	1.333333333
NM_001014911	1	1	1	1	3	1	1.333333333
NM_001014912	8	5	9	11	6	8	7.833333333
NM_001014914	21	18	18	20	13	23	18.83333333
NM_001014915	5	5	5	5	8	3	5.166666667
NM_001014916	43	48	50	43	35	47	44.33333333
NM_001014918	1	2	0	0	2	2	1.166666667
NM_001014919	1	0	0	0	0	1	0.333333333
NM_001014920	1	2	2	2	1	1	1.5
NM_001014921	25	32	29	23	27	21	26.16666667
NM_001014922	0	0	0	0	0	0	0
